#Frequency	Mic 1	Mic 2
1127.000	0.773	0.027
1128.000	0.772	0.030
1129.000	0.768	0.036
1130.000	0.781	0.030
1131.000	0.770	0.038
1132.000	0.775	0.042
1133.000	0.769	0.032
1134.000	0.881	0.086
1135.000	0.755	0.033
1136.000	0.767	0.033
1137.000	0.765	0.032
1138.000	0.756	0.035
1139.000	0.752	0.038
1140.000	0.756	0.041
1141.000	0.752	0.048
1142.000	0.759	0.034
1143.000	0.760	0.029
1144.000	0.754	0.034
1145.000	0.740	0.033
1146.000	0.759	0.049
1147.000	0.746	0.035
1148.000	0.748	0.039
1149.000	0.735	0.031
1150.000	0.732	0.034
1151.000	0.739	0.033
1152.000	0.746	0.046
